call,elapsed_s,returncode,ok,stdout_excerpt
1,3.1992318789998535,0,True,OK
2,2.739588268996158,0,True,OK
3,2.2923156280012336,0,True,OK
4,3.34500992300309,0,True,OK
5,2.399710822995985,0,True,OK
6,2.613606102997437,0,True,OK
7,2.67359221100196,0,True,OK
8,3.020325744000729,0,True,OK
9,2.5780929969987483,0,True,OK
10,5.6637740840014885,0,True,OK
